Performance Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client A,,,,Client B,,,,Server,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,
No Synchronisation,,,,No Synchronisation,,,,No Synchronisation,,,,Memory Profiling,,,,"Memory Profiling, No Synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,," 108,689,927,744 bytes allocated in the heap",," 110,998,420,816 bytes allocated in the heap",," 111,406,259,120 bytes allocated in the heap",," 110,357,780,944 bytes allocated in the heap",," 107,814,435,960 bytes allocated in the heap",," 113,187,357,704 bytes allocated in the heap",," 111,073,107,360 bytes allocated in the heap",," 111,912,653,784 bytes allocated in the heap",," 112,123,615,504 bytes allocated in the heap",,,,,,"105,270,088,240 bytes allocated in the heap"
Performance:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NS,,TW,,,,,,,,,,,,,,"         427,752 bytes maximum slop",,"         417,336 bytes maximum slop",,"         444,088 bytes maximum slop",,"         442,296 bytes maximum slop",,"         442,584 bytes maximum slop",,"         441,584 bytes maximum slop",,"         443,808 bytes maximum slop",,"         445,112 bytes maximum slop",,"         438,544 bytes maximum slop",,,,,,"         439,608 bytes maximum slop"
,Average FPS,SD,Average in FPS,SD,,,,,,,,,,,,,             197 MB total memory in use (0 MB lost due to fragmentation),,             191 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,             203 MB total memory in use (0 MB lost due to fragmentation),,,,,,             203 MB total memory in use (0 MB lost due to fragmentation)
Client A,59.7251204386717,0.652672391712866,59.7297486694589,0.794257711098026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client B,60.2557426637847,1.21893807293221,60.1091335653136,0.755482994312807,,,,,,,,,,,,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,                                     Tot time (elapsed)  Avg pause  Max pause,,,,,,                                     Tot time (elapsed)  Avg pause  Max pause
Server,58.8896485885193,0.435258583836113,46.299767676765,1.99977247490126,,,,,,,,,,,,,"  Gen  0     90930 colls,     0 par   14.325s  14.464s     0.0002s    0.1117s",,"  Gen  0     92368 colls,     0 par   13.900s  13.960s     0.0002s    0.1103s",,"  Gen  0     95707 colls,     0 par   14.314s  14.366s     0.0002s    0.1143s",,"  Gen  0     96999 colls,     0 par   14.408s  14.492s     0.0001s    0.1124s",,"  Gen  0     94717 colls,     0 par   14.481s  14.643s     0.0002s    0.1165s",,"  Gen  0     94317 colls,     0 par   15.365s  15.414s     0.0002s    0.1242s",,"  Gen  0     95191 colls,     0 par   15.013s  15.061s     0.0002s    0.1183s",,"  Gen  0     94989 colls,     0 par   14.583s  14.693s     0.0002s    0.1175s",,"  Gen  0     96258 colls,     0 par   14.121s  14.237s     0.0001s    0.1150s",,,,,,"  Gen  0     95129 colls,     0 par   15.144s  15.186s     0.0002s    0.1209s"
,,,,,,,,,,,,,,,,,"  Gen  1       277 colls,     0 par    0.008s   0.008s     0.0000s    0.0005s",,"  Gen  1       276 colls,     0 par    0.007s   0.007s     0.0000s    0.0003s",,"  Gen  1       277 colls,     0 par    0.005s   0.005s     0.0000s    0.0003s",,"  Gen  1       283 colls,     0 par    0.005s   0.005s     0.0000s    0.0003s",,"  Gen  1       274 colls,     0 par    0.005s   0.006s     0.0000s    0.0005s",,"  Gen  1       270 colls,     0 par    0.004s   0.004s     0.0000s    0.0005s",,"  Gen  1       277 colls,     0 par    0.005s   0.005s     0.0000s    0.0002s",,"  Gen  1       276 colls,     0 par    0.005s   0.005s     0.0000s    0.0006s",,"  Gen  1       276 colls,     0 par    0.005s   0.005s     0.0000s    0.0006s",,,,,,"  Gen  1       278 colls,     0 par    0.006s   0.006s     0.0000s    0.0005s"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memory Profiling:,,,,,,,,,,,,,,,,,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.000s  (  0.000s elapsed),,  INIT    time    0.000s  (  0.001s elapsed),,  INIT    time    0.001s  (  0.001s elapsed),,,,,,  INIT    time    0.001s  (  0.001s elapsed)
,NS,,,,TW,,,,,,,,,,,,  MUT     time   27.214s  ( 33.342s elapsed),,  MUT     time   27.154s  ( 32.955s elapsed),,  MUT     time   27.115s  ( 33.274s elapsed),,  MUT     time   27.749s  ( 33.862s elapsed),,  MUT     time   27.013s  ( 33.324s elapsed),,  MUT     time   26.721s  ( 33.867s elapsed),,  MUT     time   27.263s  ( 33.954s elapsed),,  MUT     time   27.191s  ( 33.449s elapsed),,  MUT     time   27.167s  ( 33.163s elapsed),,,,,,  MUT     time   27.275s  ( 34.047s elapsed)
